------------------------------------------------------------------------------------
导出信息：
姓名：张蕊
支付宝账户：641619594@qq.com
起始时间：[2024-07-01 00:00:00]    终止时间：[2024-08-01 23:59:59]
导出交易类型：[全部]
导出时间：[2024-08-01 16:52:04]
共35笔记录
收入：3笔 150.00元
支出：5笔 361.12元
不计收支：27笔 351.24元

特别提示：
1.本回单内容可表明支付宝受理了相应支付交易申请，因系统原因或通讯故障等偶发因素导致本回单与实际交易结果不符时，以实际交易情况为准；
2.请勿将本回单作为收款方发货的凭据使用，请查证账户实际到账情况后再进行发货操作；
3.支付宝快捷支付等非余额支付方式可能既产生支付宝交易也同步产生银行交易，因此请勿使用本回单进行重复记账；
4.本回单如经任何涂改、编造，均立即失去效力；
5.部分账单如：充值提现、账户转存或者个人设置收支等不计入为收入或者支出，记为不计收支类；
6.因统计逻辑不同，明细金额直接累加后，可能会和下方统计金额不一致，请以实际交易金额为准；
7.禁止将本回单用于非法用途；
8.本明细仅展示当前账单中的交易，不包括已删除的记录；
9.本明细仅供个人对账使用。

------------------------支付宝（中国）网络技术有限公司  电子客户回单------------------------
交易时间,交易分类,交易对方,对方账号,商品说明,收/支,金额,收/付款方式,交易状态,交易订单号,商家订单号,备注,
2024-07-31 02:34:30,投资理财,多基金_国泰,/,余额宝-2024.07.30-收益发放,不计收支,0.01,余额宝,交易成功,20240731386804153881	,	,,
2024-07-28 02:35:16,投资理财,多基金_国泰,/,余额宝-2024.07.27-收益发放,不计收支,0.01,余额宝,交易成功,20240728360244347881	,	,,
2024-07-27 23:59:43,收入,齐***8,199******09,Apple/苹果 USB-C/Typc-C 数字影音多端口转,收入,289.00,,交易关闭,2024072722001138771457848438	,T200P3984091057121393804	,,
2024-07-27 22:37:17,餐饮美食,成都所见所得科技有限公司,cds***@bytedance.com,百香果果啤1份,支出,28.80,余额宝,交易成功,2024072722001444881448877633	,DPM24072722370519033178263407367	,,
2024-07-27 15:25:48,日用百货,抖音电商商家,shg***@bytedance.com,抖音电商-订单编号6932599652990130042,支出,99.00,余额宝,交易成功,2024072722001444881450126079	,DPM24072715253319034188007037086	,,
2024-07-27 02:33:49,投资理财,多基金_国泰,/,余额宝-2024.07.26-收益发放,不计收支,0.01,余额宝,交易成功,20240727358971396881	,	,,
2024-07-26 02:43:21,投资理财,多基金_国泰,/,余额宝-2024.07.25-收益发放,不计收支,0.01,余额宝,交易成功,20240726352755943881	,	,,
2024-07-25 02:43:54,投资理财,多基金_国泰,/,余额宝-2024.07.24-收益发放,不计收支,0.01,余额宝,交易成功,20240725338216823881	,	,,
2024-07-24 02:17:19,投资理财,多基金_国泰,/,余额宝-2024.07.23-收益发放,不计收支,0.01,余额宝,交易成功,20240724332964647881	,	,,
2024-07-23 02:16:38,投资理财,多基金_国泰,/,余额宝-2024.07.22-收益发放,不计收支,0.01,余额宝,交易成功,20240723324601364881	,	,,
2024-07-22 02:31:32,投资理财,多基金_国泰,/,余额宝-2024.07.21-收益发放,不计收支,0.01,余额宝,交易成功,20240722312478774881	,	,,
2024-07-21 02:30:13,投资理财,多基金_国泰,/,余额宝-2024.07.20-收益发放,不计收支,0.01,余额宝,交易成功,20240721310751433881	,	,,
